101,200/1709/15,1,2017-09-04 11:01:45.000,2017-09-04,NULL,NULL,NULL,NULL,NULL,NULL,200,15,1709
102,200/1709/16,1,2017-09-04 13:24:20.000,2017-09-04,NULL,NULL,NULL,NULL,NULL,NULL,200,16,1709
103,200/1709/17,1,2017-09-04 13:41:02.000,2017-09-04,NULL,NULL,NULL,NULL,NULL,NULL,200,17,1709
104,200/1709/18,1,2017-09-04 16:11:20.000,2017-09-04,NULL,NULL,NULL,NULL,NULL,NULL,200,18,1709
105,200/1709/19,1,2017-09-04 16:13:20.000,2017-09-04,NULL,NULL,NULL,NULL,NULL,NULL,200,19,1709
106,200/1709/20,1,2017-09-04 16:14:10.000,2017-09-04,NULL,NULL,NULL,NULL,NULL,NULL,200,20,1709
107,200/1709/21,1,2017-09-04 16:22:48.000,2017-09-04,NULL,NULL,NULL,NULL,NULL,NULL,200,21,1709
108,200/1709/22,1,2017-09-05 10:19:08.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,200,22,1709
109,200/1709/23,1,2017-09-05 10:19:36.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,200,23,1709
112,210/1709/1,1,2017-09-05 10:22:16.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,1,1709
113,200/1709/24,1,2017-09-05 10:22:34.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,200,24,1709
114,210/1709/2,1,2017-09-05 10:22:50.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,2,1709
115,215/1709/1,1,2017-09-05 10:24:05.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,215,1,1709
116,210/1709/3,1,2017-09-05 10:26:49.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,3,1709
117,210/1709/4,1,2017-09-05 10:41:18.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,4,1709
118,215/1709/2,1,2017-09-05 10:48:47.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,215,2,1709
119,100/1709/1,1,2017-09-05 10:49:41.590,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,100,1,1709
120,210/1709/5,1,2017-09-05 11:07:56.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,5,1709
