1,IDR,Rupiah,2,0,1,1
2,USD,US Dollar,3,3,1,13485
3,JPY,Yen,2,2,1,122.3287
4,CNY,Yuan,2,2,1,2007.37
5,THB,Bath,2,2,1,400.54
6,SGD,SG Dollar,2,2,1,9812.63
7,EUR,EURO,2,2,1,15756.4
8,MYR,Ringgit Malay,2,2,1,3183.05
