100,1709,35,1,110,1709,4,1
100,1709,35,1,115,1709,4,1
110,1709,2,1,225,1709,2,1
0,0,0,0,300,1710,13,1
0,0,0,0,400,1710,2,1
0,0,0,0,400,1710,2,2
400,1710,2,2,500,1710,24,1
400,1710,2,2,500,1710,25,1
400,1710,2,2,500,1710,30,2
0,0,0,0,400,1710,18,1
400,1710,18,1,500,1710,31,1
0,0,0,0,600,1710,2,1
0,0,0,0,800,1710,3,1
0,0,0,0,1200,1710,1,1
0,0,0,0,1200,1710,2,1
0,0,0,0,1200,1710,3,1
0,0,0,0,1300,1710,5,2
0,0,0,0,1200,1710,10,1
1400,1710,10,1,1200,1710,40,4
0,0,0,0,1200,1710,46,1
0,0,0,0,1200,1710,40,5
0,0,0,0,1200,1710,48,1
0,0,0,0,1300,1710,25,1
1400,1710,1,1,1500,1710,3,1
0,0,0,0,1400,1710,13,1
1400,1710,14,1,1200,1710,66,1
1400,1710,13,2,1500,1710,7,1
1400,1710,13,2,1500,1710,8,1
1400,1710,14,1,1500,1710,8,2
1400,1710,13,1,1200,1710,67,1
1400,1710,13,1,1200,1710,67,2
1400,1710,13,1,1200,1710,67,3
1400,1710,13,2,1200,1710,69,1
0,0,0,0,1400,1710,19,1
1400,1710,19,1,1500,1710,12,1
0,0,0,0,1400,1710,20,1
0,0,0,0,1300,1710,29,1
0,0,0,0,400,1710,36,1
400,1710,36,2,500,1710,32,2
0,0,0,0,600,1710,11,1
0,0,0,0,800,1710,5,1
110,1710,1,1,210,1710,5,1
110,1710,1,2,200,1710,7,1
200,1710,7,1,300,1710,51,1
300,1710,51,1,125,1710,6,1
300,1710,51,1,220,1710,6,1
100,1709,26,1,110,1709,1,1
100,1709,26,1,115,1709,1,1
110,1709,4,1,215,1709,6,1
110,1709,2,1,215,1709,6,2
110,1709,1,1,215,1709,6,3
0,0,0,0,400,1710,36,2
110,1710,1,1,210,1710,4,1
110,1709,1,1,125,1709,76,1
110,1709,1,1,220,1709,31,1
100,1709,34,1,110,1709,2,1
100,1709,34,1,115,1709,2,1
100,1709,32,1,110,1709,3,1
100,1709,32,1,115,1709,3,1
115,1709,3,1,120,1709,140,1
110,1709,1,1,210,1709,27,1
110,1709,3,1,200,1710,1,1
0,0,0,0,1300,1710,7,1
0,0,0,0,1200,1710,37,1
0,0,0,0,400,1710,36,3
600,1710,11,1,700,1710,5,1
110,1710,1,3,200,1710,8,1
110,1709,3,1,200,1709,60,1
200,1709,60,1,300,1709,33,1
0,0,0,0,400,1710,12,1
600,1710,2,1,700,1710,2,2
800,1710,3,1,900,1710,1,1
0,0,0,0,1500,1710,1,1
100,1710,22,1,110,1710,1,1
100,1710,22,1,115,1710,1,1
200,1710,8,1,300,1710,55,1
300,1710,51,1,200,1710,10,1
400,1710,2,2,500,1710,24,2
0,0,0,0,300,1710,46,1
0,0,0,0,1200,1710,39,1
1400,1710,10,1,1200,1710,39,2
0,0,0,0,1600,1710,10,1
0,0,0,0,1400,1710,13,2
0,0,0,0,1400,1710,14,1
1400,1710,13,2,1200,1710,70,1
1400,1710,13,2,1200,1710,72,1
800,1710,5,1,900,1710,4,1
0,0,0,0,1600,1710,15,1
0,0,0,0,1400,1710,24,2
0,0,0,0,1400,1710,24,3
100,1710,22,2,110,1710,1,2
100,1710,22,2,115,1710,1,2
100,1710,22,3,110,1710,1,3
100,1710,22,3,115,1710,1,3
100,1710,23,1,110,1710,4,1
100,1710,23,1,115,1710,4,1
0,0,0,0,1200,1710,9,1
