1,NULL,YL8
2,NULL,YR9
3,NULL,YL0
4,NULL,-
5,NULL,D03D
6,NULL,APV
10005,NULL,D30N
10007,NULL,D17
10008,NULL,01W
10009,NULL,4L45W
10010,NULL,YHA
10011,NULL,VT O1
10012,NULL,4P45
10013,NULL,TG4R
