111,SAIMC00111,DENGENSHA 14,0,21,21,1
112,SAIMC00112,DENGENSHA 14,0,21,22,1
113,SAIMC00113,DENGENSHA 15,0,21,23,1
114,SAIMC00114,DENGENSHA 16,0,21,24,1
115,SAIMC00115,DENGENSHA 16,0,21,25,1
116,SAIMC00116,DENGENSHA 17,0,21,26,1
117,SAIMC00117,DANGENSHA 22,0,21,27,1
118,SAIMC00118,DANGENSHA 18,0,21,28,1
119,SAIMC00119,DANGENSHA 19,0,21,29,1
120,SAIMC00120,DANGENSHA 19,0,21,30,1
121,SAIMC00121,DANGENSHA 20,0,21,31,1
122,SAIMC00122,DANGENSHA 21,0,21,32,1
123,SAIMC00123,MASTER CO MANUAL,0,22,33,1
124,SAIMC00124,FOCUS GMA 350,0,22,34,1
125,SAIMC00125,LEAD WELL,0,23,1,1
126,SAIMC00126,NAKA MURA TOME CNC,0,23,2,1
127,SAIMC00127,MURATA WS WSC-8II,0,23,3,1
128,SAIMC00128,CHINA 16 TON J23-16,0,23,4,1
129,SAIMC00129,UNIVERSAL CONVENSIONAL MILLING,0,23,5,1
130,SAIMC00130,YAMAMOTO YF700,0,23,6,1
131,SAIMC00131,YAMAMOTO YF7009 (POWER PITCH),0,23,7,1
132,SAIMC00132,TPM T80,0,23,8,1
133,SAIMC00133,NNTC 5HV BELT SENDER,0,23,9,1
134,SAIMC00134,NNTC 5HV BELT SENDER,0,23,10,1
135,SAIMC00135,NAMIKI NBD 340 BEND DRILL,0,23,11,1
136,SAIMC00136,POLY GIM CNC,0,23,12,1
137,SAIMC00137,POLY GIM CNC LATE,0,23,13,1
138,SAIMC00138,POLY GIM CNC LATE,0,23,14,1
139,SAIMC00139,POLY GIM CNC LATE,0,23,15,1
140,SAIMC00140,POLY GIM CNC LATE,0,23,16,1
141,SAIMC00141,POLY GIM CNC LATE,0,23,17,1
142,SAIMC00142,LEAD WELL F1,0,23,18,1
143,SAIMC00143,LEAD WELL CNC,0,23,19,1
144,SAIMC00144,C-SUN,0,23,20,1
145,SAIMC00145,MAKINO S56,0,23,21,1
146,SAIMC00146,MAKINO S33 A200,0,23,22,1
147,SAIMC00147,MAKINO S33A200,0,23,23,1
148,SAIMC00148,MAKINO MAX65S30,0,23,24,1
149,SAIMC00149,SODICK AK55L,0,23,25,1
150,SAIMC00150,SODICK A500W,0,23,26,1
151,SAIMC00151,SODICK A500W,0,23,27,1
152,SAIMC00152,OKAMOTO PSG DX105,0,23,28,1
153,SAIMC00153,KOMATSU,60,6,3,1
154,SAIMC00154,IHI,500,24,1,1
155,SAIMC00155,AIDA,400,24,2,1
156,SAIMC00156,AIDA,400,24,3,1
157,SAIMC00157,YODOGAWA,350,25,1,1
158,SAIMC00158,FUKUI,200,25,2,1
159,SAIMC00159,AIDA,200,25,3,1
160,SAIMC00160,AIDA NEW,200,25,4,1
161,SAIMC00161,AIDA,80,41,1,1
