9,MKT,Marketing & Sales,NULL,9
11,AC,Accounting & Tax,NULL,7
12,FIN,Finance,NULL,7
13,PUR,Purchasing,NULL,3
14,ICT,ICT,NULL,10
15,OHCD,OHCD,NULL,1
16,GA,P&GA,NULL,1
17,MTNT,MTN - T,NULL,2
18,ENG,Engineering,NULL,11
19,QA,QA,NULL,4
20,QEMS,QEMS,NULL,12
21,PPIC,PPIC,NULL,5
23,N,Stamping,NULL,15
24,O,Non Stamping,NULL,14
25,MTNM,MTN - M,NULL,2
26,TR,Store Room,NULL,5
27,WH,Warehouse,NULL,5
28,SBC,Subcon,NULL,5
29,Security,Security,NULL,1
30,BOD,BOD,NULL,NULL
