SysID	ItemNo	PartNo	PartName	IDCust	Image	IDProject	PackingType	PartTypeID	StdPack	FGLocation	QtyPerCar	SupplierID	CreateBy	IsActive	IsDelete	NameType	INSERT INTO BOM1 (SysID, ItemNo, PartNo, PartName, IDCust, Image, IDProject, PackingType, PartTypeID, StdPack, FGLocation, QtyPerCar, SupplierID, CreateBy, IsActive, IsDelete, NameType) VALUES 
SAI1700205	1	1001A74000E	C COVER D30D EKSPORT	35	NULL	4		FG3	0		0	0	67	1	0	0	('SAI1700205','1','1001A74000E','C COVER D30D EKSPORT','35',NULL,'4','','FG3','0','','0','0','67','1','0',0),
SAI1700207	3	7601218100	CORE PLATE	35	NULL	4		FG3	0		0	0	67	1	0	0	('SAI1700207','3','7601218100','CORE PLATE','35',NULL,'4','','FG3','0','','0','0','67','1','0',0),
SAI1700277	51	A206-87602	BRACKET S/A RR SEAT STOPPER	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700277','51','A206-87602','BRACKET S/A RR SEAT STOPPER','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700278	52	A218-87403	RINF. RR SEAT CUSH SIDE RH (B120200E072175D)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700278','52','A218-87403','RINF. RR SEAT CUSH SIDE RH (B120200E072175D)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700279	53	A321-97505	HINGE SEAT MALE (D01202400)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700279','53','A321-97505','HINGE SEAT MALE (D01202400)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700280	54	A347-97501	BRACKET RR SEAT LINK RH	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700280','54','A347-97501','BRACKET RR SEAT LINK RH','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700281	55	B181-87401	BRACKET SEAT TRACK OUTER RH	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700281','55','B181-87401','BRACKET SEAT TRACK OUTER RH','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700282	56	A121-97510	REINF. FR SEAT CUSHION RH (D01200100)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700282','56','A121-97510','REINF. FR SEAT CUSHION RH (D01200100)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700283	57	B141-87402	BRKT FR OUTER SEAT TRACK LWR FR RH   (B121300)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700283','57','B141-87402','BRKT FR OUTER SEAT TRACK LWR FR RH   (B121300)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700284	58	A122-97505	REINF. FR SEAT CUSHION LH (D01200500)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700284','58','A122-97505','REINF. FR SEAT CUSHION LH (D01200500)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700285	59	B182-87401	BRACKET SEAT TRACK OUTER LH	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700285','59','B182-87401','BRACKET SEAT TRACK OUTER LH','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700286	60	A253-87604	REINFORCEMENT RR SEAT BACK RH	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700286','60','A253-87604','REINFORCEMENT RR SEAT BACK RH','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700287	61	A162-87601	BRACKET FR SEAT BACK LH	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700287','61','A162-87601','BRACKET FR SEAT BACK LH','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700288	62	A243-97533	BRACKET RR SEAT LEG OUTER	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700288','62','A243-97533','BRACKET RR SEAT LEG OUTER','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700289	63	A254-87604	REINFORCEMENT RR SEAT BACK LH	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700289','63','A254-87604','REINFORCEMENT RR SEAT BACK LH','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700290	64	A243-97527	BRACKET RR SEAT LEG LINK	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700290','64','A243-97527','BRACKET RR SEAT LEG LINK','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700291	65	B147-87402	BRKT FR INNER SEAT TRACK LWR RR RH   (B121800)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700291','65','B147-87402','BRKT FR INNER SEAT TRACK LWR RR RH   (B121800)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
