1,GA,GA
2,Maintenance,MTN
3,Purchasing,PUR
4,QA,QA
5,PPIC,PPIC
7,Finance/Acc,FINACCT
9,Marketing,MKT
10,ICT,ICT
11,Enginering,ENG
12,QEMR,QEMR
14,Non Stamping,WLD
13,BOD,BOD
15,Stamping,STP
