1,173139,201,PC3
2,173143,226,PC3
3,172513,281,PC2
4,173152,770,PC3
5,173163,837,PC3
6,173165,853,PC3
7,173166,857,PC3
8,173167,863,PC3
9,173170,876,PC3
11,174974,111086,NULL
12,174974,111063,NULL
