SAI1700169-2,0,0,3,SAI1700169,87324-73R00-R,BRACKET, RR BACK RCLNG SPRING,3,RM1,0,0,JSH590RN,2,136,47,1,0.1,0,0,0,,,0,1,0,,,1,1,0,,,0,,NULL,646,NULL,0,NULL
SAI1700293-1,0,1,0,SAI1700293,A347-87402,BRKT RR SEAT LINK LH (B121100),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1136,,0,NULL
SAI1700268-1,0,1,0,SAI1700268,D911-87405,STAY FR SEAT H/R,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1111,,0,NULL
SAI1700309-1,0,1,0,SAI1700309,B456-97501,BRACKET SEAT FRAME SET LH (D01203500),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1152,,0,NULL
SAI1700057-2,42,1,2,SAI1700057,5290D384,BOW,ROOF,B,2,PC3,1,0,,0,0,0,0,0,0,0,0,,,0,1,1,,,1,1,0,,,0,,NULL,861,NULL,0,NULL
SAI1700063-7,48,4,8,SAI1700063,5360A279,EXT_SIDE_STEP,2,PC2,1,0,,0,0,0,0,0,0,0,0,,,0,1,1,,,1,1,0,,,0,,NULL,896,NULL,0,NULL
SAI1700319-2,0,0,0,SAI1700319,A157-97507-A-R,PANEL FR SEAT BACK SAFETY (D01201310),3,RM1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1294,,0,NULL
SAI1700352-2,0,0,0,SAI1700352,A219-97507-R,REINF. RR SEAT CUSH SIDE LH (D01202100),3,RM1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1327,,0,NULL
SAI1700339-1,0,1,0,SAI1700339,A416-97501-A,HANGER FR SEAT CUSH SPRING (D01203110),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1182,,0,NULL
SAI1700340-1,0,1,0,SAI1700340,A337-97509,PLATE RR SEAT LEG (D01202600),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1183,,0,NULL
SAI1700195-2,0,0,0,SAI1700195,90330-SEO-A000-H1,NUT WELD HOOK 10 MM,3,SP1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,918,,0,NULL
SAI1700195-36,0,22,0,SAI1700195,65767-TG4R-T000-H1,STIFF L, RR FRAME,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,955,,0,NULL
SAI1700195-37,0,23,0,SAI1700195,65719-TG1-T000-H1,BRKT R, BRAKE HOSE,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,956,,0,NULL
SAI1700195-38,0,24,0,SAI1700195,65769-TG1-T000-H1,BRKT L, BRAKE HOSE,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,957,,0,NULL
SAI1700195-39,0,25,0,SAI1700195,65768-TG1-T000-H1,PIPE, V/R PIPE PROTECT,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,958,,0,NULL
SAI1700195-40,0,28,0,SAI1700195,65791-TG4R-T001-H1,EXTN L, SIDE SILL,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,960,,0,NULL
SAI1700196,0,1,0,SAI1700196,65116-TG2-K000-H1,FRAME R, FR FLOOR,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,976,,0,NULL
SAI1700196-2,0,1,0,SAI1700196,65116-TG2-K000-50,FRAME R, FR FLOOR,3,SP1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,977,,0,NULL
SAI1700196-3,0,1,0,SAI1700196,94063-0800,NUT WELD HEX 8MM,3,SP1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,978,,0,NULL
SAI1700196-3,0,2,0,SAI1700196,65117-TG2-K000-H1,STIFF R, FR FLR FRM,3,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,979,,0,NULL
SAI1700196,0,4,0,SAI1700196,65118-TG2-K000-H1,BRKT R, FR SEAT OUT,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,980,,0,NULL
SAI1700196-5,0,4,0,SAI1700196,65118-TG2-K000-50,BRKT R,3,SP1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,981,,0,NULL
SAI1700196-6,0,4,0,SAI1700196,90305-SNA-A000-H1,NUT, PLATE 10MM,3,SP1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,982,,0,NULL
SAI1700197,0,6,0,SAI1700197,65166-TG4-U000-H1,FRAME L, FR FLOOR,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,983,,0,NULL
SAI1700197-2,0,6,0,SAI1700197,65166-TG4-U000-50,FRAME L, FR FLOOR,3,SP1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,984,,0,NULL
SAI1700197-3,0,6,0,SAI1700197,94063-10000,NUT WELD HEX 10MM,3,SP1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,985,,0,NULL
SAI1700197-3,0,7,0,SAI1700197,65167-TG2-K000-H1,STIFF L, FR FLR FRM,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,986,,0,NULL
SAI1700197,0,9,0,SAI1700197,65168-TG2-K000-H1,BRKT L, FR SEAT OUT,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,987,,0,NULL
SAI1700197-5,0,9,0,SAI1700197,65168-TG2-K000-50,BRKT L, FR SEAT OUT,3,SP1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,988,,0,NULL
SAI1700205-2,0,0,0,SAI1700205,1001A74000E-R,C COVER D30D EKSPORT,3,RM1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1047,,0,NULL
SAI1700206-2,0,0,0,SAI1700206,1001A74000-R,C COVER D30D LOCAL,3,RM1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1048,,0,NULL
