91,1010,PSW DENGENSHA 150KVA,SIM PLANT A
92,1010,PSW DENGENSHA 150KVA,SIM PLANT A
93,1010,PSW DENGENSHA 125KVA,SIM PLANT A
94,1010,PSW DENGENSHA 150KVA,SIM PLANT A
95,1010,PSW DENGENSHA 150KVA,SIM PLANT A
96,1010,SMALL PRESS AIDA 30 TON,SIM PLANT A
97,1010,CO2 TERMAWELL 550,SIM PLANT A
98,1010,PSW DENGENSHA 150KVA,FR LH PLANT A
99,1010,PSW OBARA 100KVA,FR LH PLANT A
100,1010,PSW OBARA 150KVA,FR LH PLANT A
101,1010,PSW DENGENSHA 100KVA,FR LH PLANT A
102,1010,PSW DENGENSHA 150KVA,FR LH PLANT A
103,1010,PSW OBARA 150KVA,FR LH PLANT A
104,1010,PSW OBARA 150KVA,FR LH PLANT A
105,1010,PSW DENGENSA 150KVA,FR LH PLANT A
106,1010,PSW OBARA 150KVA,FR LH PLANT A
107,1010,PSW OBARA 150KVA,FR LH PLANT A
108,1010,PSW OBARA 150KVA,FR LH PLANT A
109,1010,PSW OBARA 150KVA,FR LH PLANTA
110,1010,PSW OBARA 150KVA,FR LH PLANT A
111,1010,PSW OBARA 150KVA,FR LH PLANT A
112,1010,PSW DENGENSHA 150KVA,FR LH PLANT A
113,1010,PSW DENGENSHA 150KVA,FR LH PLANT A
114,1010,PSW OBARA 150KVA,FR LH PLANT A
115,1010,PSW DENGENSHA 150KVA,FR RH PLANT A
116,1010,PSW DENGENSHA 150KVA,FR RH PLANT A
117,1010,PSW DENGENSHA 150KVA,FR RH PLANT A
118,1010,PSW OBARA 150KVA,FR RH PLANT A
119,1010,PSW DENGENSHA 150KVA,FR RH PLANT A
120,1010,PSW DENGENSHA 150KVA,FR RH PLANT A
121,1010,PSW DENGENSHA 150KVA,FR RH PLANT A
122,1010,PSW OBARA 150KVA,FR RH PLANT A
123,1010,STUD BOLT 2KVA,FR RH PLANT A
124,1010,STUD BOLT 2KVA,FR RH PLANT A
125,1010,CO2 DEFISAL DBL 400A,FR RH PLANT A
126,1010,PSW RIJI 160KVA,PM7 PLANT A
127,1010,PSW RIJI 160KVA,PM7 PLANT A
128,1010,PSW RIJI 160KVA,PM7 PLANT A
129,1010,PSW RIJI 160KVA,PM7 PLANT A
130,1010,PSW RIJI 160KVA,PM7 PLANT A
131,1010,PSW RIJI 160KVA,PM7 PLANT A
132,1010,PSW RIJI 160KVA,PM7 PLANT A
133,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
134,1010,PSW RIJI 160KVA,PM7 PLANT A
135,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
136,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
137,1010,PSW RIJI 160KVA,PM7 PLANT A
138,1010,SOYER 2KVA,PM7 PLANT A
139,1010,SOYER 2KVA,PM7 PLANTA
140,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
141,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
142,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
143,1010,SOYER 2KVA,PM7 PLANT A
144,1010,SOYER 2KVA,PM7 PLANT A
145,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
146,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
147,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
148,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
149,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
150,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
151,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
152,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
153,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
154,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
155,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
156,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
157,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
158,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
159,1010,PSW DENGENSHA 150KVA,PM7 PLANT A
160,1010,PSW OBARA 150KVA,PM7 PLANT A
161,1010,PSW RIJI 160KVA,PM7 PLANT A
162,1010,PSW RIJI 160KVA,PM7 PLANT A
163,1010,SOYER 2KVA,PM7 PLANT A
164,1010,SOYER 2KVA,PM7 PLANT A
165,1010,SOYER 2KVA,PM7 PLANT A
166,1010,SOYER 2KVA,PM7 PLANT A
167,1010,CO2 SAFMIG 400 A,PM7 PLANT A
168,1010,BIG PRESS CHINFONG STD 400 TON,B1-1 PLANT C
169,1010,BIG PRESS KOMATSU E2G-300 TON,B1-2 PLANT C
170,1010,BIG PRESS KOMATSU E2W-300 TON,B1-3 PLANT C
171,1010,BIG PRESS LIENCHIEH 500 TON,B2-1 PLANT C
172,1010,BIG PRESS MINCHANG 300 TON,B2-2 PLANTC
173,1010,BIG PRESS AMINO 300 TON,B2-3 PLANT C
174,1010,BIG PRESS IHI 500 TON,B3-1 PLANT A
175,1010,BIG PRESS AIDA 400 TON,B3-2 PLANT A
