8,109,150
9,109,22
18,909,0
28,165,166
29,164,165
30,164,156
31,164,22
32,2,3
33,4,5
34,9,10
35,12,13
38,20,21
39,24,25
40,35,36
41,39,40
42,43,44
43,45,46
44,51,52
45,53,54
46,56,57
47,59,60
48,62,63
50,68,79
52,74,75
53,78,80
54,83,84
55,89,91
56,90,101
57,93,94
59,98,99
60,103,104
61,107,108
62,109,110
63,113,124
65,120,121
66,127,128
67,132,133
68,135,146
71,147,148
72,150,151
74,154,155
75,159,160
76,165,166
77,172,183
78,177,178
79,181,182
80,186,187
81,191,173
82,193,194
83,195,196
85,201,202
86,204,205
87,206,207
88,208,209
90,215,216
91,226,227
94,240,241
95,244,245
96,247,248
97,251,252
98,255,256
99,261,262
100,265,769
101,268,269
102,271,767
103,273,274
104,275,895
105,277,278
106,325,327
107,326,327
108,329,331
109,330,331
110,332,334
111,333,334
112,335,337
113,336,337
114,339,341
115,340,341
116,343,345
117,344,345
118,347,349
119,348,349
120,350,352
121,351,352
122,353,355
123,354,355
124,356,358
125,357,358
126,359,361
127,360,361
128,362,364
129,363,364
130,366,685
131,372,373
132,375,398
133,376,403
134,378,419
135,379,421
136,381,445
137,383,511
138,386,424
139,389,513
140,391,545
141,392,545
142,393,433
143,394,436
144,395,439
145,402,403
146,405,419
147,406,511
148,410,400
149,413,477
150,414,477
151,415,548
152,416,548
153,425,426
154,432,433
155,434,436
156,435,436
157,437,439
158,438,439
159,440,450
160,441,511
161,442,519
162,444,445
163,448,545
164,449,450
165,451,453
166,452,453
167,454,456
168,455,456
169,457,459
170,458,459
171,460,462
172,461,462
173,463,465
174,464,465
175,466,468
176,467,468
177,469,471
178,470,471
179,472,473
180,474,503
181,481,483
182,482,483
183,484,486
184,485,486
185,487,489
186,488,489
187,490,492
188,491,492
189,493,495
190,494,495
191,496,498
192,497,498
193,499,500
194,501,503
195,502,503
196,504,562
197,505,562
198,506,508
199,507,508
200,509,620
201,520,477
202,521,523
203,522,523
204,524,480
205,525,620
206,529,610
207,530,531
208,532,534
209,533,534
210,535,616
211,537,539
212,538,539
213,540,542
214,541,542
215,543,566
216,544,566
217,546,548
218,549,433
219,550,552
220,551,552
221,553,555
222,554,555
223,557,559
224,558,559
225,560,479
226,561,479
227,563,565
228,564,565
229,567,626
230,568,626
231,569,571
232,570,571
233,572,617
234,573,617
235,574,576
236,575,576
237,577,578
238,579,646
239,580,473
240,581,480
241,582,622
242,583,622
243,584,536
244,585,646
245,586,649
246,587,649
247,589,634
248,590,634
249,591,635
250,592,635
251,593,595
252,594,595
253,597,598
254,599,661
255,601,668
256,603,605
257,604,605
258,606,608
259,607,608
260,609,500
261,611,531
262,612,613
263,614,616
264,615,616
265,618,578
266,619,661
267,621,527
268,623,536
269,624,648
270,625,588
271,628,652
272,629,652
273,630,634
274,631,632
275,633,588
276,636,638
277,637,638
278,640,642
279,641,642
280,643,596
281,644,596
282,645,659
283,647,648
284,650,627
285,651,627
286,654,655
287,656,639
288,657,639
289,658,659
290,660,598
291,662,600
292,663,600
293,664,666
294,665,666
295,667,668
296,669,602
297,670,602
298,673,775
299,678,369
300,679,680
301,681,682
302,683,685
303,686,369
304,687,373
305,688,691
306,689,691
307,694,696
308,695,696
309,698,700
310,699,700
311,702,704
312,703,704
313,705,680
