353,SAI1700062,884,NULL,NULL,NULL,0
354,SAI1700062,885,NULL,NULL,NULL,0
429,SAI1700016,715,5,2017-07-19,04:56:07.0000000,0
430,SAI1700016,717,5,2017-07-19,04:56:53.0000000,0
431,SAI1700022,61,5,2017-07-19,05:01:09.0000000,0
435,SAI1700020,39,1,2017-07-19,08:43:53.0000000,0
436,SAI1700021,43,1,2017-07-19,08:44:54.0000000,0
437,SAI1700021,45,1,2017-07-19,08:45:03.0000000,0
438,SAI1700022,48,1,2017-07-19,08:45:19.0000000,0
439,SAI1700022,59,1,2017-07-19,08:45:27.0000000,0
440,SAI1700022,65,1,2017-07-19,08:47:22.0000000,0
441,SAI1700022,51,1,2017-07-19,08:47:40.0000000,0
442,SAI1700022,53,1,2017-07-19,08:47:47.0000000,0
443,SAI1700022,55,1,2017-07-19,08:48:25.0000000,0
444,SAI1700023,93,1,2017-07-19,08:48:51.0000000,0
445,SAI1700023,95,1,2017-07-19,08:48:57.0000000,0
446,SAI1700023,90,1,2017-07-19,08:49:25.0000000,0
447,SAI1700023,82,1,2017-07-19,08:49:32.0000000,0
448,SAI1700023,88,1,2017-07-19,08:51:27.0000000,0
449,SAI1700023,109,1,2017-07-19,08:51:35.0000000,0
450,SAI1700023,73,1,2017-07-19,08:51:42.0000000,0
451,SAI1700023,107,1,2017-07-19,08:54:28.0000000,0
452,SAI1700023,77,1,2017-07-19,08:57:51.0000000,0
453,SAI1700023,111,1,2017-07-19,08:58:25.0000000,0
454,SAI1700023,69,1,2017-07-19,08:58:31.0000000,0
455,SAI1700023,68,1,2017-07-19,09:03:13.0000000,0
456,SAI1700023,97,1,2017-07-19,09:04:00.0000000,0
457,SAI1700023,102,1,2017-07-19,09:04:37.0000000,0
459,SAI1700024,113,1,2017-07-19,09:11:03.0000000,0
460,SAI1700024,119,1,2017-07-19,09:11:09.0000000,0
461,SAI1700024,126,1,2017-07-19,09:11:59.0000000,0
462,SAI1700024,147,1,2017-07-19,09:12:35.0000000,0
463,SAI1700024,149,1,2017-07-19,09:12:43.0000000,0
464,SAI1700024,135,1,2017-07-19,09:13:15.0000000,0
465,SAI1700024,115,1,2017-07-19,09:13:25.0000000,0
466,SAI1700024,68,1,2017-07-19,09:14:19.0000000,0
467,SAI1700024,131,1,2017-07-19,09:14:27.0000000,0
468,SAI1700024,136,1,2017-07-19,09:14:57.0000000,0
469,SAI1700024,140,1,2017-07-19,09:15:28.0000000,0
470,SAI1700024,141,1,2017-07-19,09:15:36.0000000,0
471,SAI1700024,130,1,2017-07-19,09:16:24.0000000,0
472,SAI1700024,909,1,2017-07-19,09:16:32.0000000,0
