SAI1700088-1,SAI1700088,0,0,0,0,0,0,0,0,683,NULL
SAI1700088-2,SAI1700088,0,0,0,0,0,0,0,0,684,NULL
SAI1700088-3,SAI1700088,0,0,0,0,0,0,0,0,685,NULL
SAI1700089-1,SAI1700089,0,0,0,0,0,0,0,0,686,NULL
SAI1700098-1,SAI1700098,0,0,0,0,0,0,0,0,408,NULL
SAI1700099-1,SAI1700099,0,0,0,0,0,0,0,0,375,NULL
SAI1700099-2,SAI1700099,0,0,0,0,0,0,0,0,410,NULL
SAI1700100-1,SAI1700100,0,0,0,0,0,0,0,0,376,NULL
SAI1700100-2,SAI1700100,0,0,0,0,0,0,0,0,412,NULL
SAI1700101-2,SAI1700101,0,0,0,0,0,0,0,0,379,NULL
SAI1700102-1,SAI1700102,0,0,0,0,0,0,0,0,381,NULL
SAI1700102-2,SAI1700102,0,0,0,0,0,0,0,0,382,NULL
SAI1700104-2,SAI1700104,0,0,0,0,0,0,0,0,386,NULL
SAI1700104-3,SAI1700104,0,0,0,0,0,0,0,0,387,NULL
SAI1700105-1,SAI1700105,0,0,0,0,0,0,0,0,389,NULL
SAI1700105-2,SAI1700105,0,0,0,0,0,0,0,0,390,NULL
SAI1700106-1,SAI1700106,0,0,0,0,0,0,0,0,414,NULL
SAI1700107-1,SAI1700107,0,0,0,0,0,0,0,0,392,NULL
SAI1700108-1,SAI1700108,0,0,0,0,0,0,0,0,416,NULL
SAI1700113-1,SAI1700113,0,0,0,0,0,0,0,0,402,NULL
SAI1700113-2,SAI1700113,0,0,0,0,0,0,0,0,403,NULL
SAI1700113-3,SAI1700113,0,0,0,0,0,0,0,0,404,NULL
SAI1700113-4,SAI1700113,0,0,0,0,0,0,0,0,417,NULL
SAI1700114-2,SAI1700114,0,0,0,0,0,0,0,0,419,NULL
SAI1700114-3,SAI1700114,0,0,0,0,0,0,0,0,420,NULL
SAI1700114-4,SAI1700114,0,0,0,0,0,0,0,0,421,NULL
SAI1700115-4,SAI1700115,0,0,0,0,0,0,0,0,422,NULL
