24,1000,1710,51,3,32,NULL,2017-11-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,1000,1710,51,3,32,NULL,2017-11-01 00:00:00,100340,NULL,NULL,NULL,0,123,1335.78,123,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,1000,1710,51,3,15,NULL,2017-11-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,1000,1710,51,3,15,NULL,2017-11-09 00:00:00,100340,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,1000,1710,51,3,16,NULL,2017-11-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,1000,1710,51,3,16,NULL,2017-11-01 00:00:00,100340,NULL,NULL,NULL,0,100,1086,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,1000,1710,51,3,15,NULL,2017-11-09 00:00:00,100340,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,1000,1710,51,3,15,NULL,2017-11-09 00:00:00,100340,NULL,NULL,NULL,0,100,1086.03,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,1000,1710,51,3,14,NULL,2017-11-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,1000,1710,51,3,14,NULL,2017-10-31 00:00:00,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,1000,1710,51,3,9,NULL,2017-11-01 00:00:00,22790,22789,NULL,NULL,11529,86,86,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,1000,1710,51,3,9,NULL,2017-11-14 00:00:00,100340,22789,NULL,NULL,11529,86,933.96,86,10767624.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,1000,1710,51,3,8,NULL,2017-11-01 00:00:00,22787,22788,NULL,NULL,11841,1373,1373,1373,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,1000,1710,51,3,8,NULL,2017-11-01 00:00:00,100340,22788,NULL,NULL,11841,1373,14910.78,1373,176558545.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,1000,1710,51,3,17,NULL,2017-11-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,1000,1710,51,3,17,NULL,2017-11-01 00:00:00,100340,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,1000,1710,51,3,17,NULL,2017-11-01 00:00:00,100340,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,1000,1710,51,3,17,NULL,2017-11-01 00:00:00,100340,NULL,NULL,NULL,0,100,1086,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,1000,1710,51,3,18,NULL,2017-11-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,1000,1710,51,3,18,NULL,2017-11-14 00:00:00,100340,NULL,NULL,NULL,0,200,2172,200,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,1000,1710,51,3,7,NULL,2017-11-01 00:00:00,22773,22774,NULL,NULL,11244,400,400,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
